SNo,BRate,Timestamp
148,22.0,11-03-2025 11:15:38:761554
149,22.0,11-03-2025 11:15:39:134818
150,22.0,11-03-2025 11:15:39:522091
151,22.0,11-03-2025 11:15:39:915387
152,22.0,11-03-2025 11:15:40:312655
153,22.0,11-03-2025 11:15:40:670925
154,22.0,11-03-2025 11:15:41:037169
155,22.0,11-03-2025 11:15:41:390419
156,21.0,11-03-2025 11:15:41:796707
157,21.0,11-03-2025 11:15:42:176978
158,21.0,11-03-2025 11:15:42:575262
159,21.0,11-03-2025 11:15:43:011572
160,21.0,11-03-2025 11:15:43:374828
161,21.0,11-03-2025 11:15:43:775112
162,21.0,11-03-2025 11:15:44:200415
163,21.0,11-03-2025 11:15:44:590691
164,21.0,11-03-2025 11:15:44:951964
165,21.0,11-03-2025 11:15:45:336223
166,21.0,11-03-2025 11:15:45:733504
167,21.0,11-03-2025 11:15:46:088756
168,21.0,11-03-2025 11:15:46:476031
169,21.0,11-03-2025 11:15:46:870311
170,21.0,11-03-2025 11:15:47:248582
171,22.0,11-03-2025 11:15:47:625863
172,22.0,11-03-2025 11:15:48:008135
173,22.0,11-03-2025 11:15:48:407404
174,22.0,11-03-2025 11:15:48:786674
175,22.0,11-03-2025 11:15:49:143925
176,22.0,11-03-2025 11:15:49:507186
177,22.0,11-03-2025 11:15:49:885454
178,22.0,11-03-2025 11:15:50:284735
179,22.0,11-03-2025 11:15:50:651998
180,22.0,11-03-2025 11:15:51:031267
181,22.0,11-03-2025 11:15:51:403533
182,22.0,11-03-2025 11:15:51:760785
183,22.0,11-03-2025 11:15:52:112035
184,22.0,11-03-2025 11:15:52:447274
185,22.0,11-03-2025 11:15:52:837552
186,22.0,11-03-2025 11:15:53:185812
187,22.0,11-03-2025 11:15:53:576077
188,22.0,11-03-2025 11:15:53:928325
189,22.0,11-03-2025 11:15:54:335613
190,22.0,11-03-2025 11:15:54:698873
191,22.0,11-03-2025 11:15:55:060130
192,22.0,11-03-2025 11:15:55:464415
193,22.0,11-03-2025 11:15:55:827673
194,22.0,11-03-2025 11:15:56:204941
195,22.0,11-03-2025 11:15:56:552188
196,22.0,11-03-2025 11:15:56:931474
197,22.0,11-03-2025 11:15:57:325740
198,22.0,11-03-2025 11:15:57:675001
199,22.0,11-03-2025 11:15:58:046251
200,22.0,11-03-2025 11:15:58:455555
201,22.0,11-03-2025 11:15:58:800786
202,22.0,11-03-2025 11:15:59:145044
203,22.0,11-03-2025 11:15:59:500282
204,22.0,11-03-2025 11:15:59:871547
205,22.0,11-03-2025 11:16:00:245049
206,22.0,11-03-2025 11:16:00:600319
207,22.0,11-03-2025 11:16:00:956555
208,22.0,11-03-2025 11:16:01:361841
209,22.0,11-03-2025 11:16:01:750118
210,22.0,11-03-2025 11:16:02:110371
211,22.0,11-03-2025 11:16:02:467640
212,22.0,11-03-2025 11:16:02:857904
213,22.0,11-03-2025 11:16:03:283207
214,22.0,11-03-2025 11:16:03:640460
215,22.0,11-03-2025 11:16:03:988705
216,22.0,11-03-2025 11:16:04:348964
217,21.0,11-03-2025 11:16:04:721225
218,21.0,11-03-2025 11:16:05:086485
219,21.0,11-03-2025 11:16:05:475763
220,21.0,11-03-2025 11:16:05:836017
221,21.0,11-03-2025 11:16:06:202280
222,22.0,11-03-2025 11:16:06:566536
223,22.0,11-03-2025 11:16:06:908779
224,22.0,11-03-2025 11:16:07:291050
225,22.0,11-03-2025 11:16:07:650307
226,22.0,11-03-2025 11:16:08:032578
227,22.0,11-03-2025 11:16:08:425857
228,22.0,11-03-2025 11:16:08:808127
229,22.0,11-03-2025 11:16:09:171402
230,22.0,11-03-2025 11:16:09:534644
231,22.0,11-03-2025 11:16:09:905907
232,22.0,11-03-2025 11:16:10:272184
233,22.0,11-03-2025 11:16:10:636427
234,22.0,11-03-2025 11:16:11:015712
235,22.0,11-03-2025 11:16:11:396968
236,22.0,11-03-2025 11:16:11:774250
237,22.0,11-03-2025 11:16:12:150518
238,22.0,11-03-2025 11:16:12:521768
239,22.0,11-03-2025 11:16:12:862008
240,22.0,11-03-2025 11:16:13:262291
241,22.0,11-03-2025 11:16:13:661580
242,22.0,11-03-2025 11:16:14:035841
243,22.0,11-03-2025 11:16:14:407104
244,23.0,11-03-2025 11:16:14:767364
245,23.0,11-03-2025 11:16:15:131619
246,23.0,11-03-2025 11:16:15:479867
247,23.0,11-03-2025 11:16:15:877149
248,23.0,11-03-2025 11:16:16:277435
249,23.0,11-03-2025 11:16:16:675715
250,23.0,11-03-2025 11:16:17:048980
251,23.0,11-03-2025 11:16:17:447264
252,23.0,11-03-2025 11:16:17:853552
253,23.0,11-03-2025 11:16:18:223816
254,23.0,11-03-2025 11:16:18:579067
255,23.0,11-03-2025 11:16:18:960338
256,23.0,11-03-2025 11:16:19:339611
257,23.0,11-03-2025 11:16:19:727887
258,23.0,11-03-2025 11:16:20:095145
259,23.0,11-03-2025 11:16:20:481420
260,23.0,11-03-2025 11:16:20:859690
261,23.0,11-03-2025 11:16:21:210937
262,23.0,11-03-2025 11:16:21:693283
263,23.0,11-03-2025 11:16:22:048533
264,23.0,11-03-2025 11:16:22:419797
265,23.0,11-03-2025 11:16:22:790062
266,23.0,11-03-2025 11:16:23:173334
267,22.0,11-03-2025 11:16:23:525597
268,22.0,11-03-2025 11:16:23:923880
269,22.0,11-03-2025 11:16:24:290124
270,22.0,11-03-2025 11:16:24:670394
271,22.0,11-03-2025 11:16:25:060674
272,22.0,11-03-2025 11:16:25:429933
273,22.0,11-03-2025 11:16:25:819210
274,22.0,11-03-2025 11:16:26:193479
275,23.0,11-03-2025 11:16:26:558734
276,23.0,11-03-2025 11:16:26:906985
277,23.0,11-03-2025 11:16:27:256234
278,23.0,11-03-2025 11:16:27:614486
279,23.0,11-03-2025 11:16:27:984748
280,23.0,11-03-2025 11:16:28:337999
281,23.0,11-03-2025 11:16:28:714267
282,23.0,11-03-2025 11:16:29:101544
283,23.0,11-03-2025 11:16:29:472807
284,23.0,11-03-2025 11:16:29:854075
285,23.0,11-03-2025 11:16:30:220336
286,23.0,11-03-2025 11:16:30:564582
287,23.0,11-03-2025 11:16:30:916833
288,23.0,11-03-2025 11:16:31:287095
289,22.0,11-03-2025 11:16:31:650351
290,22.0,11-03-2025 11:16:32:000601
291,22.0,11-03-2025 11:16:32:403903
292,22.0,11-03-2025 11:16:32:760141
293,22.0,11-03-2025 11:16:33:122399
294,22.0,11-03-2025 11:16:33:481655
295,22.0,11-03-2025 11:16:33:825896
296,22.0,11-03-2025 11:16:34:211186
297,22.0,11-03-2025 11:16:34:576433
298,22.0,11-03-2025 11:16:35:012742
299,22.0,11-03-2025 11:16:35:381002
300,22.0,11-03-2025 11:16:35:756271
301,22.0,11-03-2025 11:16:36:143542
302,22.0,11-03-2025 11:16:36:511821
303,22.0,11-03-2025 11:16:36:912091
304,22.0,11-03-2025 11:16:37:317379
305,22.0,11-03-2025 11:16:37:692646
306,22.0,11-03-2025 11:16:38:073914
307,22.0,11-03-2025 11:16:38:441191
308,22.0,11-03-2025 11:16:38:820446
309,22.0,11-03-2025 11:16:39:217742
310,22.0,11-03-2025 11:16:39:643029
311,22.0,11-03-2025 11:16:40:036308
312,22.0,11-03-2025 11:16:40:407587
313,22.0,11-03-2025 11:16:40:778838
314,22.0,11-03-2025 11:16:41:149114
315,22.0,11-03-2025 11:16:41:534372
316,22.0,11-03-2025 11:16:41:920649
317,22.0,11-03-2025 11:16:42:289908
318,22.0,11-03-2025 11:16:42:667178
319,22.0,11-03-2025 11:16:43:048463
320,22.0,11-03-2025 11:16:43:460755
321,22.0,11-03-2025 11:16:43:830003
322,22.0,11-03-2025 11:16:44:211288
323,22.0,11-03-2025 11:16:44:584553
324,22.0,11-03-2025 11:16:44:940792
325,22.0,11-03-2025 11:16:45:312055
326,22.0,11-03-2025 11:16:45:700331
327,22.0,11-03-2025 11:16:46:095611
328,22.0,11-03-2025 11:16:46:499902
329,22.0,11-03-2025 11:16:46:895180
330,22.0,11-03-2025 11:16:47:281471
331,22.0,11-03-2025 11:16:47:712761
332,22.0,11-03-2025 11:16:48:094047
333,22.0,11-03-2025 11:16:48:492315
334,22.0,11-03-2025 11:16:48:880606
335,22.0,11-03-2025 11:16:49:271870
336,23.0,11-03-2025 11:16:49:641130
337,23.0,11-03-2025 11:16:50:004390
338,23.0,11-03-2025 11:16:50:424686
339,23.0,11-03-2025 11:16:50:836979
340,23.0,11-03-2025 11:16:51:205240
341,23.0,11-03-2025 11:16:51:598536
342,23.0,11-03-2025 11:16:51:990814
343,23.0,11-03-2025 11:16:52:382078
344,23.0,11-03-2025 11:16:52:799388
345,23.0,11-03-2025 11:16:53:200657
346,23.0,11-03-2025 11:16:53:592940
347,23.0,11-03-2025 11:16:53:979214
