SNo,BRate,Timestamp
444,23.0,2025-03-11 11:17:31
446,24.0,2025-03-11 11:17:32
449,23.0,2025-03-11 11:17:33
452,23.0,2025-03-11 11:17:34
454,22.0,2025-03-11 11:17:35
457,22.0,2025-03-11 11:17:36
459,22.0,2025-03-11 11:17:37
462,22.0,2025-03-11 11:17:38
465,22.0,2025-03-11 11:17:39
467,22.0,2025-03-11 11:17:40
470,22.0,2025-03-11 11:17:41
473,22.0,2025-03-11 11:17:42
475,22.0,2025-03-11 11:17:43
478,22.0,2025-03-11 11:17:44
481,22.0,2025-03-11 11:17:45
483,22.0,2025-03-11 11:17:46
486,22.0,2025-03-11 11:17:47
488,21.0,2025-03-11 11:17:48
491,22.0,2025-03-11 11:17:49
494,22.0,2025-03-11 11:17:50
496,21.0,2025-03-11 11:17:51
499,21.0,2025-03-11 11:17:52
502,21.0,2025-03-11 11:17:53
504,21.0,2025-03-11 11:17:54
507,21.0,2025-03-11 11:17:55
509,21.0,2025-03-11 11:17:56
511,21.0,2025-03-11 11:17:57
514,21.0,2025-03-11 11:17:58
516,21.0,2025-03-11 11:17:59
518,20.0,2025-03-11 11:18:00
520,20.0,2025-03-11 11:18:01
523,20.0,2025-03-11 11:18:02
526,20.0,2025-03-11 11:18:03
528,20.0,2025-03-11 11:18:04
531,20.0,2025-03-11 11:18:05
534,20.0,2025-03-11 11:18:06
536,21.0,2025-03-11 11:18:07
539,21.0,2025-03-11 11:18:08
542,21.0,2025-03-11 11:18:09
545,21.0,2025-03-11 11:18:10
547,21.0,2025-03-11 11:18:11
550,21.0,2025-03-11 11:18:12
553,21.0,2025-03-11 11:18:13
555,22.0,2025-03-11 11:18:14
558,22.0,2025-03-11 11:18:15
561,22.0,2025-03-11 11:18:16
563,22.0,2025-03-11 11:18:17
566,22.0,2025-03-11 11:18:18
569,22.0,2025-03-11 11:18:19
571,22.0,2025-03-11 11:18:20
574,23.0,2025-03-11 11:18:21
577,23.0,2025-03-11 11:18:22
579,23.0,2025-03-11 11:18:23
582,22.0,2025-03-11 11:18:24
585,22.0,2025-03-11 11:18:25
587,22.0,2025-03-11 11:18:26
589,22.0,2025-03-11 11:18:27
592,22.0,2025-03-11 11:18:28
594,22.0,2025-03-11 11:18:29
596,22.0,2025-03-11 11:18:30
599,22.0,2025-03-11 11:18:31
602,21.0,2025-03-11 11:18:32
604,21.0,2025-03-11 11:18:33
607,22.0,2025-03-11 11:18:34
609,22.0,2025-03-11 11:18:35
