Timestamp,BRate,Timestamp,RSSI
2024-11-12 10:55:50,18.0,2024-11-12 10:55:50,-28
2024-11-12 10:55:51,18.0,2024-11-12 10:55:51,-29
2024-11-12 10:55:52,18.0,2024-11-12 10:55:52,-29
2024-11-12 10:55:53,18.0,2024-11-12 10:55:53,-29
2024-11-12 10:55:54,18.0,2024-11-12 10:55:54,-28
2024-11-12 10:55:55,19.0,2024-11-12 10:55:55,-29
2024-11-12 10:55:56,19.0,2024-11-12 10:55:56,-29
2024-11-12 10:55:57,24.0,2024-11-12 10:55:57,-29
2024-11-12 10:55:58,24.0,2024-11-12 10:55:58,-28
2024-11-12 10:55:59,25.0,2024-11-12 10:55:59,-29
2024-11-12 10:56:00,25.0,2024-11-12 10:56:00,-29
2024-11-12 10:56:01,25.0,2024-11-12 10:56:01,-29
2024-11-12 10:56:02,25.0,2024-11-12 10:56:02,-29
2024-11-12 10:56:03,25.0,2024-11-12 10:56:03,-29
2024-11-12 10:56:04,26.0,2024-11-12 10:56:04,-29
2024-11-12 10:56:05,26.0,2024-11-12 10:56:05,-29
2024-11-12 10:56:06,26.0,2024-11-12 10:56:06,-29
2024-11-12 10:56:07,25.0,2024-11-12 10:56:07,-29
2024-11-12 10:56:08,26.0,2024-11-12 10:56:08,-29
2024-11-12 10:56:09,27.0,2024-11-12 10:56:09,-29
2024-11-12 10:56:10,27.0,2024-11-12 10:56:10,-29
2024-11-12 10:56:11,26.0,2024-11-12 10:56:11,-29
2024-11-12 10:56:12,27.0,2024-11-12 10:56:12,-29
2024-11-12 10:56:13,27.0,2024-11-12 10:56:13,-29
2024-11-12 10:56:14,27.0,2024-11-12 10:56:14,-29
2024-11-12 10:56:15,27.0,2024-11-12 10:56:15,-29
2024-11-12 10:56:16,27.0,2024-11-12 10:56:16,-29
2024-11-12 10:56:17,27.0,2024-11-12 10:56:17,-29
2024-11-12 10:56:18,26.0,2024-11-12 10:56:18,-29
2024-11-12 10:56:19,26.0,2024-11-12 10:56:19,-29
2024-11-12 10:56:20,26.0,2024-11-12 10:56:20,-29
2024-11-12 10:56:21,26.0,2024-11-12 10:56:21,-29
2024-11-12 10:56:22,24.0,2024-11-12 10:56:22,-29
2024-11-12 10:56:23,24.0,2024-11-12 10:56:23,-29
2024-11-12 10:56:24,23.0,2024-11-12 10:56:24,-29
2024-11-12 10:56:25,22.0,2024-11-12 10:56:25,-29
2024-11-12 10:56:26,22.0,2024-11-12 10:56:26,-29
2024-11-12 10:56:27,22.0,2024-11-12 10:56:27,-29
2024-11-12 10:56:28,21.0,2024-11-12 10:56:28,-28
2024-11-12 10:56:29,21.0,2024-11-12 10:56:29,-29
2024-11-12 10:56:30,22.0,2024-11-12 10:56:30,-29
2024-11-12 10:56:31,21.0,2024-11-12 10:56:31,-29
2024-11-12 10:56:32,21.0,2024-11-12 10:56:32,-28
2024-11-12 10:56:33,21.0,2024-11-12 10:56:33,-29
2024-11-12 10:56:34,21.0,2024-11-12 10:56:34,-29
2024-11-12 10:56:35,22.0,2024-11-12 10:56:35,-28
2024-11-12 10:56:36,24.0,2024-11-12 10:56:36,-29
2024-11-12 10:56:37,24.0,2024-11-12 10:56:37,-28
2024-11-12 10:56:38,23.0,2024-11-12 10:56:38,-28
2024-11-12 10:56:39,23.0,2024-11-12 10:56:39,-27
2024-11-12 10:56:40,24.0,2024-11-12 10:56:40,-27
2024-11-12 10:56:41,24.0,2024-11-12 10:56:41,-27
2024-11-12 10:56:42,24.0,2024-11-12 10:56:42,-27
2024-11-12 10:56:43,24.0,2024-11-12 10:56:43,-28
2024-11-12 10:56:44,24.0,2024-11-12 10:56:44,-28
2024-11-12 10:56:45,24.0,2024-11-12 10:56:45,-27
2024-11-12 10:56:46,24.0,2024-11-12 10:56:46,-28
2024-11-12 10:56:47,25.0,2024-11-12 10:56:47,-28
2024-11-12 10:56:48,25.0,2024-11-12 10:56:48,-27
2024-11-12 10:56:49,23.0,2024-11-12 10:56:49,-28
2024-11-12 10:56:50,23.0,2024-11-12 10:56:50,-27
2024-11-12 10:56:51,27.0,2024-11-12 10:56:51,-28
2024-11-12 10:56:52,25.0,2024-11-12 10:56:52,-28
2024-11-12 10:56:53,25.0,2024-11-12 10:56:53,-28
2024-11-12 10:56:54,25.0,2024-11-12 10:56:54,-28
2024-11-12 10:56:55,25.0,2024-11-12 10:56:55,-28
2024-11-12 10:56:56,25.0,2024-11-12 10:56:56,-27
2024-11-12 10:56:57,25.0,2024-11-12 10:56:57,-27
2024-11-12 10:56:58,25.0,2024-11-12 10:56:58,-27
2024-11-12 10:56:59,24.0,2024-11-12 10:56:59,-27
2024-11-12 10:57:00,23.0,2024-11-12 10:57:00,-27
2024-11-12 10:57:01,22.0,2024-11-12 10:57:01,-27
2024-11-12 10:57:02,22.0,2024-11-12 10:57:02,-27
2024-11-12 10:57:03,21.0,2024-11-12 10:57:03,-27
2024-11-12 10:57:04,21.0,2024-11-12 10:57:04,-27
2024-11-12 10:57:05,21.0,2024-11-12 10:57:05,-27
2024-11-12 10:57:06,22.0,2024-11-12 10:57:06,-27
2024-11-12 10:57:07,21.0,2024-11-12 10:57:07,-27
2024-11-12 10:57:08,21.0,2024-11-12 10:57:08,-27
2024-11-12 10:57:11,21.0,2024-11-12 10:57:11,-27
2024-11-12 10:57:12,21.0,2024-11-12 10:57:12,-27
2024-11-12 10:57:13,22.0,2024-11-12 10:57:13,-28
2024-11-12 10:57:14,22.0,2024-11-12 10:57:14,-28
2024-11-12 10:57:15,22.0,2024-11-12 10:57:15,-28
2024-11-12 10:57:16,22.0,2024-11-12 10:57:16,-29
2024-11-12 10:57:17,22.0,2024-11-12 10:57:17,-28
2024-11-12 10:57:18,27.0,2024-11-12 10:57:18,-27
2024-11-12 10:57:19,27.0,2024-11-12 10:57:19,-28
2024-11-12 10:57:20,27.0,2024-11-12 10:57:20,-29
2024-11-12 10:57:21,28.0,2024-11-12 10:57:21,-29
2024-11-12 10:57:22,28.0,2024-11-12 10:57:22,-29
2024-11-12 10:57:23,29.0,2024-11-12 10:57:23,-29
2024-11-12 10:57:24,30.0,2024-11-12 10:57:24,-29
2024-11-12 10:57:25,30.0,2024-11-12 10:57:25,-29
2024-11-12 10:57:26,29.0,2024-11-12 10:57:26,-28
2024-11-12 10:57:27,29.0,2024-11-12 10:57:27,-29
2024-11-12 10:57:28,31.0,2024-11-12 10:57:28,-29
2024-11-12 10:57:29,30.0,2024-11-12 10:57:29,-29
2024-11-12 10:57:30,30.0,2024-11-12 10:57:30,-29
2024-11-12 10:57:31,30.0,2024-11-12 10:57:31,-29
2024-11-12 10:57:32,30.0,2024-11-12 10:57:32,-28
2024-11-12 10:57:33,30.0,2024-11-12 10:57:33,-29
2024-11-12 10:57:34,30.0,2024-11-12 10:57:34,-29
2024-11-12 10:57:35,31.0,2024-11-12 10:57:35,-29
2024-11-12 10:57:36,31.0,2024-11-12 10:57:36,-28
2024-11-12 10:57:37,31.0,2024-11-12 10:57:37,-29
2024-11-12 10:57:38,33.0,2024-11-12 10:57:38,-29
2024-11-12 10:57:39,32.0,2024-11-12 10:57:39,-30
2024-11-12 10:57:40,32.0,2024-11-12 10:57:40,-29
2024-11-12 10:57:41,28.0,2024-11-12 10:57:41,-29
2024-11-12 10:57:42,28.0,2024-11-12 10:57:42,-29
2024-11-12 10:57:43,27.0,2024-11-12 10:57:43,-29
2024-11-12 10:57:44,27.0,2024-11-12 10:57:44,-29
