SNo,BRate,Timestamp
1,,12-11-2024 10:39:17:739890
2,,12-11-2024 10:39:18:052133
3,,12-11-2024 10:39:18:365402
4,,12-11-2024 10:39:18:679681
5,,12-11-2024 10:39:19:064010
6,,12-11-2024 10:39:19:362735
7,,12-11-2024 10:39:19:660451
8,,12-11-2024 10:39:19:949674
9,,12-11-2024 10:39:20:244898
10,,12-11-2024 10:39:20:563168
11,,12-11-2024 10:39:20:850904
12,,12-11-2024 10:39:21:158140
13,,12-11-2024 10:39:21:487671
14,,12-11-2024 10:39:21:790786
15,,12-11-2024 10:39:22:119551
16,,12-11-2024 10:39:22:419264
17,,12-11-2024 10:39:22:699480
18,,12-11-2024 10:39:22:993689
19,,12-11-2024 10:39:23:324941
20,,12-11-2024 10:39:23:724230
21,18,12-11-2024 10:39:24:118539
22,18,12-11-2024 10:39:24:521889
23,18,12-11-2024 10:39:24:931257
24,18,12-11-2024 10:39:25:364640
25,18,12-11-2024 10:39:25:758983
26,18,12-11-2024 10:39:26:142350
27,18,12-11-2024 10:39:26:515670
28,18,12-11-2024 10:39:26:913013
29,18,12-11-2024 10:39:27:316343
30,18,12-11-2024 10:39:27:702644
31,18,12-11-2024 10:39:28:059934
32,18,12-11-2024 10:39:28:427252
33,18,12-11-2024 10:39:28:808579
34,18,12-11-2024 10:39:29:189866
35,18,12-11-2024 10:39:29:577174
36,18,12-11-2024 10:39:29:914045
37,18,12-11-2024 10:39:30:282483
38,18,12-11-2024 10:39:30:663771
39,18,12-11-2024 10:39:31:055611
40,19,12-11-2024 10:39:31:442930
41,19,12-11-2024 10:39:31:822258
42,19,12-11-2024 10:39:32:177508
43,19,12-11-2024 10:39:32:554821
44,19,12-11-2024 10:39:32:937126
45,18,12-11-2024 10:39:33:298514
46,18,12-11-2024 10:39:33:692836
47,18,12-11-2024 10:39:34:073149
48,19,12-11-2024 10:39:34:452440
49,19,12-11-2024 10:39:34:834794
50,19,12-11-2024 10:39:35:166553
51,19,12-11-2024 10:39:35:589393
52,19,12-11-2024 10:39:35:980748
53,19,12-11-2024 10:39:36:356928
54,19,12-11-2024 10:39:36:738724
55,19,12-11-2024 10:39:37:118560
56,19,12-11-2024 10:39:37:514948
57,19,12-11-2024 10:39:37:877254
58,19,12-11-2024 10:39:38:319586
59,19,12-11-2024 10:39:38:714959
60,19,12-11-2024 10:39:39:100112
61,19,12-11-2024 10:39:39:480157
62,19,12-11-2024 10:39:39:849959
63,19,12-11-2024 10:39:40:209213
64,19,12-11-2024 10:39:40:579103
65,19,12-11-2024 10:39:40:973353
66,19,12-11-2024 10:39:41:364714
67,19,12-11-2024 10:39:41:743008
68,19,12-11-2024 10:39:42:139371
69,19,12-11-2024 10:39:42:523692
70,19,12-11-2024 10:39:42:903987
71,20,12-11-2024 10:39:43:286788
72,20,12-11-2024 10:39:43:661517
73,20,12-11-2024 10:39:44:027812
74,21,12-11-2024 10:39:44:368238
75,21,12-11-2024 10:39:44:721990
76,21,12-11-2024 10:39:45:072751
77,21,12-11-2024 10:39:45:442568
78,21,12-11-2024 10:39:45:769802
79,21,12-11-2024 10:39:46:111683
80,21,12-11-2024 10:39:46:508035
81,21,12-11-2024 10:39:46:875322
82,21,12-11-2024 10:39:47:238089
83,21,12-11-2024 10:39:47:641460
84,21,12-11-2024 10:39:48:017047
85,22,12-11-2024 10:39:48:384037
86,22,12-11-2024 10:39:48:759869
87,22,12-11-2024 10:39:49:133183
88,22,12-11-2024 10:39:49:525976
89,22,12-11-2024 10:39:49:894522
90,22,12-11-2024 10:39:50:265288
91,22,12-11-2024 10:39:50:622085
92,22,12-11-2024 10:39:51:015091
93,22,12-11-2024 10:39:51:383871
94,22,12-11-2024 10:39:51:756161
95,22,12-11-2024 10:39:52:136482
96,22,12-11-2024 10:39:52:528762
97,22,12-11-2024 10:39:52:913193
98,22,12-11-2024 10:39:53:280493
99,22,12-11-2024 10:39:53:670856
100,22,12-11-2024 10:39:54:073142
101,23,12-11-2024 10:39:54:452973
102,23,12-11-2024 10:39:54:823249
103,23,12-11-2024 10:39:55:212128
104,23,12-11-2024 10:39:55:600449
105,23,12-11-2024 10:39:55:943699
106,23,12-11-2024 10:39:56:317013
107,23,12-11-2024 10:39:56:675288
108,23,12-11-2024 10:39:57:062588
109,22,12-11-2024 10:39:57:433915
110,22,12-11-2024 10:39:57:784175
111,22,12-11-2024 10:39:58:163000
112,22,12-11-2024 10:39:58:571307
113,22,12-11-2024 10:39:58:980598
114,21,12-11-2024 10:39:59:366913
115,21,12-11-2024 10:39:59:723651
116,21,12-11-2024 10:40:00:113055
117,22,12-11-2024 10:40:00:465843
118,22,12-11-2024 10:40:00:832671
119,22,12-11-2024 10:40:01:171418
120,22,12-11-2024 10:40:01:577777
121,22,12-11-2024 10:40:01:949063
122,22,12-11-2024 10:40:02:323872
123,22,12-11-2024 10:40:02:668639
124,22,12-11-2024 10:40:03:041443
125,22,12-11-2024 10:40:03:398228
126,22,12-11-2024 10:40:03:771523
127,22,12-11-2024 10:40:04:111791
128,22,12-11-2024 10:40:04:455536
129,22,12-11-2024 10:40:04:813313
130,22,12-11-2024 10:40:05:135581
131,22,12-11-2024 10:40:05:528116
132,22,12-11-2024 10:40:05:895970
133,23,12-11-2024 10:40:06:293828
134,23,12-11-2024 10:40:06:687158
135,23,12-11-2024 10:40:07:080959
136,23,12-11-2024 10:40:07:464868
137,23,12-11-2024 10:40:07:825167
138,23,12-11-2024 10:40:08:172940
139,23,12-11-2024 10:40:08:543765
140,23,12-11-2024 10:40:08:915125
141,23,12-11-2024 10:40:09:295455
142,23,12-11-2024 10:40:09:630734
143,23,12-11-2024 10:40:10:030088
144,22,12-11-2024 10:40:10:397398
145,22,12-11-2024 10:40:10:821767
146,22,12-11-2024 10:40:11:222121
147,22,12-11-2024 10:40:11:564405
148,22,12-11-2024 10:40:11:959716
149,22,12-11-2024 10:40:12:360018
